Frequency,MeasFreq,VpkpkMeter,Phase,"FFT Hz","FFT Meg"
100,100,0.14,84.481,100,-30.27
108,108,0.156,83.585,100,-33.16
117,117,0.156,81.757,117,-29.09
127,127,0.164,81.053,133,-30.65
137,137,0.176,81.079,133,-28.21
149,149,0.18,80.164,150,-26.77
161,161,0.204,79.915,167,-27.91
174,174,0.204,79.621,167,-28.37
189,189,0.212,77.966,183,-26.06
204,204,0.24,76.096,200,-24.96
221,221,0.252,76.908,217,-24.42
240,240,0.256,75.129,250,-23.61
259,259,0.288,74.681,250,-22.66
281,280,0.3,73.002,292,-22.48
304,304,0.316,72.406,292,-21.8
329,329,0.336,70.294,333,-20.27
356,356,0.352,69.089,375,-22.89
386,386,0.372,70.156,375,-19.79
418,418,0.396,67.032,417,-18.29
452,452,0.416,64.877,458,-18.12
489,489,0.448,63.604,500,-18.22
530,530,0.48,61.857,542,-18.0
574,574,0.512,60.131,583,-16.43
621,621,0.528,60.049,583,-18.7
672,673,0.56,56.316,667,-15.27
728,728,0.592,53.504,750,-15.77
788,788,0.624,53.208,750,-17.41
853,853,0.648,53.07,833,-14.63
924,923,0.68,48.851,917,-13.56
1000,1000,0.712,46.736,1000,-13.15
1083,1082,0.72,41.892,1000,-16.61
1172,1171,0.76,41.918,1167,-12.46
1269,1269,0.784,38.189,1333,-14.36
1374,1374,0.808,39.85,1333,-12.75
1487,1486,0.816,35.11,1500,-11.69
1610,1610,0.848,31.138,1667,-13.1
1743,1743,0.856,32.126,1667,-14.53
1887,1888,0.88,28.715,1833,-12.61
2043,2043,0.888,27.393,2000,-11.92
2212,2212,0.904,23.478,2167,-11.92
2395,2395,0.92,22.004,2500,-11.39
2593,2593,0.936,22.793,2500,-11.33
2807,2807,0.936,20.393,2917,-11.28
3039,3037,0.944,18.336,2917,-11.74
3290,3288,0.944,14.854,3333,-10.36
3562,3564,0.96,14.019,3750,-13.14
3857,3857,0.952,13.555,3750,-11.21
4175,4178,0.968,10.328,4167,-10.13
4520,4523,0.968,9.624,4583,-10.36
4894,4895,0.96,8.903,5000,-10.89
5298,5298,0.968,8.0,5417,-11.14
5736,5735,0.976,6.083,5833,-10.1
6210,6210,0.976,7.265,5833,-13.36
6723,6724,0.984,1.636,6667,-10.06
7279,7278,0.968,1.778,7500,-10.9
7880,7878,0.968,0.542,7500,-13.43
8532,8532,0.968,0.254,8333,-10.97
9237,9244,0.968,-2.331,9167,-10.17
10000,10000,0.968,-3.153,10000,-10.04
10826,10830,0.968,-4.388,11667,-13.7
11721,11740,0.968,-6.961,11667,-10.11
12690,12690,0.968,-7.113,13333,-12.12
13738,13720,0.968,-8.539,13333,-11.12
14874,14870,0.944,-10.77,15000,-10.26
16103,16100,0.96,-13.776,16667,-11.81
17433,17420,0.944,-13.802,16667,-13.79
18874,18870,0.944,-15.112,18333,-12.08
20434,20440,0.928,-18.556,20000,-11.59
22122,22120,0.92,-19.877,21667,-11.78
23950,23960,0.888,-19.868,25000,-11.47
25929,25930,0.896,-22.601,25000,-11.67
28072,28100,0.872,-22.714,29167,-11.85
30392,30390,0.848,-28.693,29167,-12.51
32903,32900,0.832,-26.983,33333,-11.4
35622,35640,0.824,-29.192,37500,-14.53
38566,38610,0.784,-34.319,37500,-12.81
41753,41750,0.784,-33.855,41667,-12.06
45204,45200,0.768,-37.275,45833,-12.63
48939,48950,0.736,-38.383,50000,-13.48
52983,52980,0.712,-40.502,54167,-14.08
57362,57360,0.68,-44.134,58333,-13.44
62102,62100,0.656,-49.01,58333,-16.78
67234,67260,0.64,-49.549,66667,-14.12
72790,72780,0.608,-48.895,75000,-15.5
78805,78830,0.552,-54.664,75000,-18.14
85317,85380,0.552,-56.548,83333,-16.25
92367,92370,0.52,-57.89,91667,-16.03
100000,100000,0.504,-56.65,100000,-16.46
108264,108200,0.464,-61.21,100000,-20.7
117210,117300,0.44,-60.677,116667,-17.29
126896,126900,0.412,-59.981,133333,-20.18
137382,137500,0.392,-65.496,133333,-19.26
148735,148700,0.364,-62.957,150000,-19.13
161026,161000,0.356,-65.954,166667,-21.37
174333,174300,0.332,-70.619,166667,-23.46
188739,188600,0.312,-68.638,183333,-22.31
204336,204400,0.288,-73.64,200000,-22.41
221222,221100,0.288,-75.103,216667,-23.1
239503,239500,0.26,-74.234,250000,-23.72
259294,259100,0.248,-74.633,250000,-23.93
280722,280500,0.228,-74.007,291667,-25.22
303920,304200,0.228,-77.983,291667,-25.77
329034,329100,0.208,-77.703,333333,-25.49
356225,356500,0.196,-75.962,375000,-29.32
385662,385600,0.188,-78.869,375000,-27.46
417532,417400,0.168,-79.272,416667,-27.29
452035,452000,0.172,-79.475,458333,-28.32
489390,489500,0.16,-78.351,500000,-29.72
529832,530000,0.156,-80.176,541667,-30.7
573615,573300,0.14,-80.771,583333,-30.47
621017,620700,0.124,-85.842,583333,-33.92
672336,672300,0.14,-82.983,666667,-31.68
727895,727400,0.112,-73.771,750000,-33.59
788046,788000,0.112,-87.566,750000,-37.21
853168,853200,0.112,-90.842,833333,-34.35
923671,923000,0.108,-88.664,916667,-34.31
1000000,1000000,0.108,-84.582,1000000,-35.08
