"Frequency Hz","Magnitude db","Phase (Degrees)" ,"FFT Hz","FFT db"
100,-19.379,82.086,100,-30.16
104,-18.524,82.17,100,-33.24
108,-18.362,81.948,100,-32.91
112,-18.095,81.16,117,-30.29
117,-18.684,82.709,117,-28.88
122,-17.746,81.049,117,-29.59
126,-17.501,81.81,133,-31.04
131,-17.263,80.503,133,-28.08
137,-17.579,80.912,133,-28.02
142,-16.586,81.468,150,-30.86
148,-16.372,82.098,150,-27.19
154,-16.372,80.85,150,-27.04
160,-16.0,80.029,167,-28.98
166,-15.758,80.704,167,-25.86
173,-15.531,78.163,167,-27.29
180,-15.002,78.837,183,-25.96
187,-14.486,77.571,183,-25.3
194,-14.314,78.13,200,-26.45
202,-14.301,78.208,200,-24.29
210,-13.82,77.001,217,-26.45
218,-13.664,76.797,217,-23.65
227,-13.359,76.973,233,-25.51
236,-13.224,75.728,250,-24.74
245,-12.921,75.281,250,-22.73
255,-12.207,75.276,250,-22.32
265,-11.815,75.244,250,-23.64
276,-11.688,73.578,292,-23.9
287,-11.44,73.653,292,-21.51
298,-11.64,73.389,292,-21.19
310,-11.198,72.535,292,-23.41
322,-10.735,71.284,333,-21.46
335,-10.403,71.359,333,-20.03
349,-10.295,71.727,333,-21.56
363,-9.711,68.91,375,-20.85
377,-9.575,69.89,375,-19.13
392,-9.542,68.776,375,-21.19
408,-8.91,67.849,417,-19.36
424,-8.729,67.582,417,-18.59
441,-8.803,65.971,458,-20.89
458,-8.293,65.707,458,-17.72
476,-7.876,64.059,458,-20.19
495,-7.631,63.385,500,-17.38
515,-7.315,63.322,500,-18.72
536,-6.862,63.526,500,-19.27
557,-6.716,60.495,583,-18.04
579,-6.738,59.897,583,-16.21
602,-6.155,60.213,583,-16.58
626,-5.888,57.613,667,-19.5
651,-5.888,57.394,667,-15.97
677,-5.629,56.386,667,-15.33
704,-5.377,56.514,667,-17.87
732,-5.012,54.572,750,-15.41
761,-4.894,54.69,750,-14.7
791,-4.778,53.651,750,-18.01
823,-4.549,51.587,833,-14.35
855,-4.158,50.781,833,-14.87
890,-4.383,49.763,917,-15.29
925,-4.003,48.469,917,-13.6
962,-3.793,46.733,1000,-16.61
1000,-3.754,45.866,1000,-13.14
1040,-3.32,46.231,1000,-16.47
1081,-3.122,44.78,1000,-16.47
1124,-3.122,42.211,1167,-13.54
1169,-3.003,41.777,1167,-12.48
